session (db id),prolific id,dataset,pred (db id),case (db id),system prediction,sys pred proba,actual result,is sys correct,human prediction,is human correct,human trust task,human trust sys,1rst feature,2nd feature,timestamp,duration
520,60fdbc6de47e503034ea367d,adult_cfs,1261,38967,1,1.0,1,1,1,1,89,5,Similar cases,Education,2024-06-26 14:13:08.654114+00:00,2.496821983333333
520,60fdbc6de47e503034ea367d,adult_cfs,1262,35968,0,0.99,0,1,0,1,75,5,Working class,Relationship,2024-06-26 14:15:43.676517+00:00,2.5837067166666667
520,60fdbc6de47e503034ea367d,adult_cfs,1263,39287,1,0.92,0,0,1,0,71,5,Working class,AI prediction,2024-06-26 14:17:33.172541+00:00,1.8249337333333335
520,60fdbc6de47e503034ea367d,adult_cfs,1264,39426,1,0.6533333333333334,0,0,0,1,65,5,Working class,Similar cases,2024-06-26 14:18:58.903775+00:00,1.4288539
520,60fdbc6de47e503034ea367d,adult_cfs,1265,38652,0,1.0,0,1,0,1,70,5,Similar cases,AI prediction,2024-06-26 14:20:12.903209+00:00,1.2333238999999998
520,60fdbc6de47e503034ea367d,adult_cfs,1266,35992,1,0.6333333333333333,1,1,1,1,68,5,Similar cases,Education,2024-06-26 14:22:14.439512+00:00,2.0256050500000002
520,60fdbc6de47e503034ea367d,adult_cfs,1267,37234,0,0.805,1,0,0,0,67,5,Similar cases,Education,2024-06-26 14:24:03.380397+00:00,1.8156814166666666
520,60fdbc6de47e503034ea367d,adult_cfs,1268,38599,0,0.71,1,0,1,1,56,4,Similar cases,Working class,2024-06-26 14:25:01.103967+00:00,0.9620595000000001
520,60fdbc6de47e503034ea367d,adult_cfs,1270,38674,0,0.75,1,0,1,1,64,5,Similar cases,Working class,2024-06-26 14:26:21.400597+00:00,1.3382771666666666
520,60fdbc6de47e503034ea367d,adult_cfs,1272,39414,0,0.96,0,1,0,1,70,5,Education,Working class,2024-06-26 14:26:57.815191+00:00,0.6069099
520,60fdbc6de47e503034ea367d,adult_cfs,1273,39393,0,0.8225,0,1,0,1,70,5,Similar cases,AI prediction,2024-06-26 14:27:42.926418+00:00,0.7518537833333333
520,60fdbc6de47e503034ea367d,adult_cfs,1275,38223,1,0.88,1,1,1,1,71,5,Working class,Education,2024-06-26 14:28:11.608289+00:00,0.47803118333333333
520,60fdbc6de47e503034ea367d,adult_cfs,1277,36532,1,0.7924285714285714,0,0,1,0,69,4,Similar cases,Occupation,2024-06-26 14:29:13.713266+00:00,1.03508295
520,60fdbc6de47e503034ea367d,adult_cfs,1280,39444,0,0.85,1,0,0,0,63,5,Similar cases,Education,2024-06-26 14:30:21.801800+00:00,1.1348089
520,60fdbc6de47e503034ea367d,adult_cfs,1283,38046,1,0.66,0,0,1,0,66,5,Similar cases,Marital status,2024-06-26 14:31:44.937025+00:00,1.3855870833333335
520,60fdbc6de47e503034ea367d,adult_cfs,1288,38615,1,0.53,1,1,0,0,67,5,Education,Working class,2024-06-26 14:33:17.848945+00:00,1.548532
521,664df004fc7d9dafa3ab20df,adult_cfs,1269,38085,0,1.0,0,1,0,1,90,6,Occupation,Education,2024-06-26 14:25:56.898397+00:00,3.019208433333333
521,664df004fc7d9dafa3ab20df,adult_cfs,1271,39605,1,0.99,1,1,1,1,80,6,Similar cases,Occupation,2024-06-26 14:26:55.883654+00:00,0.9830876166666667
521,664df004fc7d9dafa3ab20df,adult_cfs,1274,35351,1,0.56725,1,1,1,1,82,6,Occupation,Similar cases,2024-06-26 14:27:55.276260+00:00,0.9898767666666667
521,664df004fc7d9dafa3ab20df,adult_cfs,1276,35744,0,0.78,1,0,0,0,84,5,Similar cases,Occupation,2024-06-26 14:28:36.724167+00:00,0.6907984500000001
521,664df004fc7d9dafa3ab20df,adult_cfs,1278,37344,0,1.0,0,1,0,1,92,4,Similar cases,Occupation,2024-06-26 14:29:19.299596+00:00,0.7095904833333333
521,664df004fc7d9dafa3ab20df,adult_cfs,1279,37460,0,0.9793333333333333,0,1,0,1,91,6,Occupation,Similar cases,2024-06-26 14:29:53.256145+00:00,0.5659424833333334
521,664df004fc7d9dafa3ab20df,adult_cfs,1281,39379,1,0.68,0,0,0,1,64,3,Similar cases,Education,2024-06-26 14:30:49.204045+00:00,0.932465
521,664df004fc7d9dafa3ab20df,adult_cfs,1282,38046,1,0.66,0,0,1,0,51,6,Similar cases,AI prediction,2024-06-26 14:31:22.701113+00:00,0.5582844666666666
521,664df004fc7d9dafa3ab20df,adult_cfs,1284,39324,1,1.0,1,1,1,1,88,7,AI prediction,Similar cases,2024-06-26 14:31:51.118783+00:00,0.47362783333333336
521,664df004fc7d9dafa3ab20df,adult_cfs,1285,35862,0,0.76,1,0,0,0,84,6,AI prediction,Similar cases,2024-06-26 14:32:12.430663+00:00,0.35519799999999996
521,664df004fc7d9dafa3ab20df,adult_cfs,1286,38267,1,0.65,0,0,0,1,65,3,Similar cases,Occupation,2024-06-26 14:32:46.241082+00:00,0.5635069833333334
521,664df004fc7d9dafa3ab20df,adult_cfs,1287,35453,1,0.7252380952380952,1,1,1,1,87,7,AI prediction,Similar cases,2024-06-26 14:33:08.279373+00:00,0.36730485
