sesion,pregunta_01,pregunta_02,pregunta_03,pregunta_04,pregunta_05,pregunta_06,pregunta_07,pregunta_08,pregunta_09,pregunta_10,pregunta_11,pregunta_12,pregunta_13,pregunta_14
520,6,4,1,2,4,4,2,3,3,3,2,4,5,3
521,4,1,4,4,2,4,2,1,3,4,2,1,3,4
522,7,7,1,2,3,3,1,4,4,2,2,1,4,2
524,7,8,4,4,3,4,2,2,2,2,2,2,3,2
525,7,8,2,5,3,3,3,3,4,5,4,3,4,2
526,9,6,4,3,1,1,4,3,4,5,2,5,5,1
528,9,1,1,1,1,5,1,5,5,5,5,5,5,1
529,4,6,3,3,2,4,3,2,3,4,4,3,3,2
530,7,3,4,5,5,1,3,4,4,3,3,4,4,2
531,8,5,4,4,3,3,2,2,3,3,3,4,4,3
624,7,9,1,4,1,5,3,4,3,1,1,2,4,1
626,4,5,1,1,1,1,3,2,4,4,4,5,5,2
627,7,7,3,3,4,2,4,3,4,4,4,4,4,5
628,6,7,3,3,4,2,4,3,4,3,3,3,4,2
630,7,7,5,5,3,3,3,3,4,4,4,5,5,1
632,9,9,5,4,4,4,4,3,4,3,3,3,4,4
633,9,8,5,4,4,5,5,3,3,3,3,4,3,4
634,7,8,4,4,4,4,2,2,3,4,3,2,2,5
636,8,8,2,4,2,5,1,1,1,1,1,1,1,3
637,5,7,4,3,3,4,4,3,3,3,3,3,3,3
639,6,5,3,2,1,4,1,4,4,3,2,3,4,1
640,8,9,5,5,5,4,2,2,2,2,2,2,2,2
641,5,4,2,2,5,3,2,2,3,4,2,2,3,2
642,3,4,5,5,1,5,1,1,4,5,4,2,5,1
643,4,2,1,1,2,2,3,2,5,5,4,5,5,1
644,7,6,3,4,2,5,1,1,1,1,1,1,1,3
645,6,6,4,4,4,3,2,2,2,2,2,2,1,3
646,7,8,3,3,3,4,2,3,2,2,2,2,2,2
647,6,5,2,4,1,5,2,4,3,5,1,2,5,1
648,9,8,4,5,5,5,2,1,2,4,4,3,5,3
649,7,6,2,2,5,5,1,4,4,4,4,3,4,3
651,7,6,4,4,4,3,2,2,2,1,1,2,1,2
652,7,6,1,1,1,1,1,4,4,4,3,5,5,1
653,6,6,2,4,4,3,2,1,2,3,2,4,3,4
654,7,8,4,4,4,5,1,1,1,1,1,1,1,1
655,6,3,2,3,1,1,2,4,5,4,4,4,4,2
656,7,7,5,5,5,3,1,1,1,1,1,1,2,1
657,8,7,3,2,2,3,4,3,3,3,3,3,2,3
659,6,6,3,4,2,3,3,2,3,2,2,3,4,2
660,8,6,3,4,3,4,1,2,4,4,2,4,4,1
661,8,7,3,4,1,3,1,1,1,1,1,4,4,4
662,7,5,2,3,1,3,1,2,3,4,2,4,5,2
664,8,6,3,5,2,4,1,2,3,4,3,1,5,1
665,7,7,4,5,3,5,2,3,2,4,2,3,4,5
668,3,3,4,2,5,1,3,2,4,4,4,5,4,1
669,9,6,3,3,2,4,1,2,4,4,2,4,4,1
670,7,8,5,5,5,3,1,1,1,1,1,1,3,3
672,7,6,4,3,3,3,1,4,1,1,4,3,2,1
673,8,9,4,4,4,3,1,1,1,1,1,1,1,3
674,8,9,4,4,5,2,1,1,1,1,1,1,1,3
675,8,6,3,4,5,3,1,1,2,2,2,1,4,1
677,7,6,3,3,4,4,4,2,3,4,2,2,3,3
678,8,8,4,4,4,3,1,1,1,1,1,1,1,2
679,8,8,4,4,5,4,1,1,1,1,1,1,1,2
680,6,6,2,3,1,3,3,2,3,3,2,2,2,2
681,5,2,5,5,1,4,1,1,1,1,1,1,5,1
683,8,8,4,4,5,4,1,1,1,1,1,1,1,2
684,7,6,2,2,1,1,2,4,3,5,4,3,4,5
685,6,7,1,1,1,3,3,1,3,3,2,2,5,3
686,7,5,2,1,3,2,2,1,1,2,1,1,1,2
687,9,7,3,5,3,5,1,2,4,4,2,4,4,1
688,9,9,4,4,3,5,4,5,4,4,4,4,4,1
689,8,7,1,1,1,2,3,4,5,4,4,5,5,1
690,9,6,3,3,4,2,2,2,3,2,2,2,2,2
691,9,8,4,4,3,4,2,2,2,2,2,4,4,2
693,5,5,3,3,1,3,2,2,3,3,3,3,4,3
694,8,7,4,4,4,4,2,2,2,2,2,2,2,2
695,9,9,5,5,5,5,1,3,3,4,3,3,4,4
696,7,7,4,4,4,5,2,2,2,3,3,2,3,2
698,6,6,4,3,4,4,1,1,1,1,1,1,2,3
699,3,6,5,5,3,2,1,1,1,3,4,2,4,1
701,9,8,5,4,4,5,1,3,2,3,2,2,4,5
702,3,5,4,3,3,5,2,5,4,5,4,4,5,1
703,9,9,2,2,1,5,1,1,1,1,5,1,5,1
704,6,5,3,3,4,3,2,2,2,2,2,2,4,3
705,9,9,5,4,5,5,1,2,3,3,3,2,2,3
706,9,9,3,2,3,4,1,1,2,2,1,2,1,3
707,5,7,3,4,3,5,2,3,4,5,3,4,5,1
709,6,5,1,1,1,4,3,2,4,3,2,3,4,5
710,7,9,4,4,5,3,2,1,1,1,2,1,1,2
711,6,5,2,4,2,4,5,5,5,5,5,5,5,1
712,8,8,1,1,1,3,1,3,4,5,2,1,5,1
714,8,9,4,5,4,5,1,1,1,1,2,2,2,2
715,7,7,2,1,1,4,1,3,2,4,2,2,4,2
716,8,8,1,1,1,4,1,1,1,1,1,1,4,1
717,6,6,5,4,2,4,2,2,2,3,2,4,2,4
718,5,5,2,2,2,3,1,2,2,3,3,4,3,1
720,5,4,2,3,1,2,3,3,3,3,4,4,4,1
721,5,3,5,5,1,5,1,1,1,1,1,1,5,1
724,5,8,4,3,1,3,1,2,2,3,2,2,3,3
725,6,8,4,4,1,2,1,2,2,2,2,3,4,1
726,4,4,1,1,1,2,3,1,4,4,4,4,5,1
727,9,6,1,3,5,3,3,5,4,1,3,4,5,1
728,4,7,5,5,4,1,4,2,4,2,1,4,5,1
730,6,5,4,4,4,4,4,2,3,4,4,4,4,2
731,7,3,4,5,1,3,1,3,2,3,2,4,4,3
732,8,8,4,4,4,3,4,3,4,4,3,4,3,3
733,9,6,3,4,3,2,4,4,3,4,2,4,5,5
734,8,7,3,3,2,4,2,3,3,4,2,3,4,2
735,9,6,5,3,4,3,3,4,3,3,4,4,4,2
736,7,7,2,4,5,5,2,2,2,3,2,3,4,3
737,5,9,5,3,1,2,3,3,4,3,3,5,3,4
738,7,3,1,1,1,4,4,3,3,4,4,5,5,2
739,7,8,3,5,4,4,2,2,3,3,4,3,5,3
740,7,6,3,1,1,4,2,4,4,4,4,3,4,2
742,8,7,5,5,2,4,2,4,4,4,4,2,4,1
743,9,6,5,5,5,5,1,3,1,3,3,3,5,1
744,9,9,3,2,2,4,4,4,4,4,5,5,5,2
745,7,5,5,5,5,3,4,4,2,3,2,4,4,2
746,5,2,1,1,1,1,3,3,4,4,4,4,4,4
748,8,7,4,4,4,3,1,2,3,4,3,3,3,3
749,2,9,1,2,2,5,3,4,4,4,3,4,4,2
750,9,7,4,4,5,4,1,1,1,1,1,2,2,3
752,7,6,4,3,3,3,4,3,4,4,5,3,4,4
754,7,6,2,2,3,4,4,2,4,4,2,4,5,5
756,8,1,1,3,1,5,1,3,2,3,1,3,5,2
757,5,6,4,4,4,2,1,1,1,1,1,4,4,2
758,6,4,3,3,1,4,1,3,3,3,2,4,4,2
759,8,8,5,5,5,5,3,1,2,4,3,4,5,3
760,7,9,5,5,5,5,4,1,3,4,4,4,5,4
761,8,8,3,5,2,5,1,2,2,3,2,1,3,2
762,7,7,3,4,4,4,2,1,2,4,2,3,3,4
763,7,7,4,4,4,4,4,3,4,4,5,5,5,5
764,6,2,1,2,1,2,1,1,3,3,2,3,3,1
765,9,9,5,4,4,5,3,4,4,4,3,4,5,4
766,5,6,4,4,5,5,2,2,2,3,3,3,3,4
767,9,9,5,5,5,5,1,1,2,1,1,1,4,2
769,5,5,3,3,3,4,4,2,2,3,3,3,3,3
770,6,6,1,3,1,4,1,2,5,4,4,3,5,4
771,8,4,2,2,1,2,4,5,4,4,3,5,5,2
773,8,5,1,2,2,3,1,1,1,4,1,3,5,2
774,9,8,5,5,5,5,1,1,1,1,1,1,1,1
775,6,4,1,3,5,3,1,3,4,5,4,4,4,1
776,9,7,4,4,5,5,1,1,1,1,1,1,1,4
777,6,6,5,5,4,4,3,5,2,4,2,3,2,1
779,7,7,3,3,3,3,1,1,1,1,1,1,1,3
781,7,9,5,5,4,3,1,4,2,4,4,2,5,5
782,4,5,4,3,4,2,4,4,4,4,3,4,5,2
783,9,9,2,3,5,4,1,2,3,4,4,3,4,1
784,4,7,4,4,2,2,2,3,3,3,3,3,4,2
785,4,6,2,2,1,2,3,3,4,3,3,4,4,2
787,8,6,3,3,2,4,1,1,1,2,1,1,1,1
788,7,9,3,2,1,2,1,3,3,4,5,2,4,1
789,8,7,3,3,1,1,1,1,1,2,2,2,2,2
790,7,6,4,4,3,5,2,2,2,2,1,3,2,2
791,8,8,4,4,2,5,4,2,2,3,4,4,5,5
792,8,8,3,3,1,4,4,4,4,4,4,4,4,4
793,7,6,4,4,3,4,1,1,1,1,1,1,1,4
795,7,7,5,5,3,5,2,4,3,3,2,2,2,1
797,4,7,1,1,1,2,1,1,4,4,3,4,5,1
798,6,5,4,4,3,2,4,4,3,3,2,3,3,3
800,7,6,2,2,4,3,1,3,4,4,4,3,4,4
802,6,6,1,1,1,3,2,2,2,2,3,2,2,4
803,6,6,4,4,1,3,4,4,3,2,4,4,3,4
