prolific id,pregunta_01,pregunta_02,pregunta_03,pregunta_04,pregunta_05,pregunta_06,pregunta_07,pregunta_08,pregunta_09,pregunta_10,pregunta_11,pregunta_12,pregunta_13,pregunta_14
60fdbc6de47e503034ea367d,6,4,1,2,4,4,2,3,3,3,2,4,5,3,
664df004fc7d9dafa3ab20df,4,1,4,4,2,4,2,1,3,4,2,1,3,4,
66718efa0b149d540c89a9fa,7,7,1,2,3,3,1,4,4,2,2,1,4,2,
667b4877702c70222418d02a,7,8,4,4,3,4,2,2,2,2,2,2,3,2,
56189fff7d110000113b96ac,7,8,2,5,3,3,3,3,4,5,4,3,4,2,
667b2d011a96afbef3aaf3b8,9,6,4,3,1,1,4,3,4,5,2,5,5,1,
663440bbcd3bfa566079e2df,9,1,1,1,1,5,1,5,5,5,5,5,5,1,
5ef81a32c4576a565bb8380c,4,6,3,3,2,4,3,2,3,4,4,3,3,2,
66675c8e741e1dede1ac0838,7,3,4,5,5,1,3,4,4,3,3,4,4,2,
66768127af50558b476e4897,8,5,4,4,3,3,2,2,3,3,3,4,4,3,
66ba308e2cfa34745715c023,7,9,1,4,1,5,3,4,3,1,1,2,4,1,Interesting content. Enjoyed the study
66b27a8dcba94dcdca97a894,4,5,1,1,1,1,3,2,4,4,4,5,5,2,
66b94b79ccbb002158c59623,7,7,3,3,4,2,4,3,4,4,4,4,4,5,
667cd89b77e81cff2e7efdd6,6,7,3,3,4,2,4,3,4,3,3,3,4,2,
660c33f16e986b80e2f2f630,7,7,5,5,3,3,3,3,4,4,4,5,5,1,
667d7b05cacd6fb708820f27,9,9,5,4,4,4,4,3,4,3,3,3,4,4,
6648e2eadcc05800e89469f2,9,8,5,4,4,5,5,3,3,3,3,4,3,4,
6415e163b670eed64ad645ff,7,8,4,4,4,4,2,2,3,4,3,2,2,5,
65d87f13aa1b29670a82a47c,8,8,2,4,2,5,1,1,1,1,1,1,1,3,None
6663aedf0338018d61a0f949,5,7,4,3,3,4,4,3,3,3,3,3,3,3,no comment...........................................................
66660d297864801db6a10af4,6,5,3,2,1,4,1,4,4,3,2,3,4,1,no comments
668535638998c3b907c018e0,8,9,5,5,5,4,2,2,2,2,2,2,2,2,The experiment seems well-designed to assess the factors influencing recidivism.
669bbfabf8a31bf01a09bc49,5,4,2,2,5,3,2,2,3,4,2,2,3,2,
66aac4e9660a094e32085b53,3,4,5,5,1,5,1,1,4,5,4,2,5,1,
6600e448ba586d5854beb30d,4,2,1,1,2,2,3,2,5,5,4,5,5,1,
645cdd7e6f92e0c2aea92281,7,6,3,4,2,5,1,1,1,1,1,1,1,3,
5e56457f6370ba0184e041b4,6,6,4,4,4,3,2,2,2,2,2,2,1,3,None
572535bba34b2a001306827c,7,8,3,3,3,4,2,3,2,2,2,2,2,2,
6609619feb79146b62811775,6,5,2,4,1,5,2,4,3,5,1,2,5,1,
6695226957227159e98afdb6,9,8,4,5,5,5,2,1,2,4,4,3,5,3,The survey was mentally stimulating.
663faf257d50f1ec92e1568a,7,6,2,2,5,5,1,4,4,4,4,3,4,3,
5cb5f1e080ba1c0001790399,7,6,4,4,4,3,2,2,2,1,1,2,1,2,
5a6c8047e70ca900017acdae,7,6,1,1,1,1,1,4,4,4,3,5,5,1,I’m nervous about it. Read brave new world….
6673beb472e3c2b594f05d39,6,6,2,4,4,3,2,1,2,3,2,4,3,4,
5d612ae16512d700159face7,7,8,4,4,4,5,1,1,1,1,1,1,1,1,Thanks for having me
65c2824bf5d9374091ffbc03,6,3,2,3,1,1,2,4,5,4,4,4,4,2,
5cb67a7ab73e8a001507fae5,7,7,5,5,5,3,1,1,1,1,1,1,2,1,"I enjoyed this - it could be difficult to determine correct answer, had a difficult time looking beyond my own bias."
646774e0f86825ab62c37581,8,7,3,2,2,3,4,3,3,3,3,3,2,3,
5d012930cfeb82001817c9c9,6,6,3,4,2,3,3,2,3,2,2,3,4,2,
5cbb78d664170f00011d7c4f,8,6,3,4,3,4,1,2,4,4,2,4,4,1,I found the experiment engaging and informative. The detailed breakdown of factors influencing income predictions helped me understand the complexity involved in such AI predictions.
62e19208352cd518d7b2f085,8,7,3,4,1,3,1,1,1,1,1,4,4,4,It was enjoyable and slightly challenging. Thank you.
667c3a70dfa8f73950afba6a,7,5,2,3,1,3,1,2,3,4,2,4,5,2,No comments or suggestions - everything worked smoothly and the instructions were very clear!
57dd186e6598aa0001992616,8,6,3,5,2,4,1,2,3,4,3,1,5,1,Everything worked fine and was understandable.
66a38ce8969b2b81f9d2d73c,7,7,4,5,3,5,2,3,2,4,2,3,4,5,
65cce024500351e8c8f7ff26,3,3,4,2,5,1,3,2,4,4,4,5,4,1,everything was clear and went well
5f2047f472c1fd2eaf643c64,9,6,3,3,2,4,1,2,4,4,2,4,4,1,"The experiment provided a thorough understanding of how predictions about reoffending are made using AI, especially how different features like prior criminal records and days in jail impact predictions. The process was engaging and insightful."
6637dcb5afc87b4b36c8f94f,7,8,5,5,5,3,1,1,1,1,1,1,3,3,good study
669a6a35e3b6743e700add87,7,6,4,3,3,3,1,4,1,1,4,3,2,1,I enjoyed the experiment because it was easy comprehending.
66721a338168f8341944177a,8,9,4,4,4,3,1,1,1,1,1,1,1,3,
6664b8146408ebc8a3d7ea6e,8,9,4,4,5,2,1,1,1,1,1,1,1,3,
66799662d6513151e840c6af,8,6,3,4,5,3,1,1,2,2,2,1,4,1,Very interesting and fun study. Thank you!
6601acd8481d967fb8e752a7,7,6,3,3,4,4,4,2,3,4,2,2,3,3,"The experiment effectively highlights occupation, capital gain, and work hours as key predictors of high income. Emphasizing these features and using balanced data can enhance prediction accuracy and model refinement."
662c4b36960bb85f6f77fc6e,8,8,4,4,4,3,1,1,1,1,1,1,1,2,
615efd1df11a7d21f0f12f68,8,8,4,4,5,4,1,1,1,1,1,1,1,2,
6636e27b4926cd0c965f3a47,6,6,2,3,1,3,3,2,3,3,2,2,2,2,
5bc9f8b677740000016a08b5,5,2,5,5,1,4,1,1,1,1,1,1,5,1,
616d9ef881036dfbfd63d2f4,8,8,4,4,5,4,1,1,1,1,1,1,1,2,
5e40b0eae8e4b32f3a3ebe6f,7,6,2,2,1,1,2,4,3,5,4,3,4,5,No comments
662ae132d482fb6744a3d8c0,6,7,1,1,1,3,3,1,3,3,2,2,5,3,
663eac17fa88359207b24819,7,5,2,1,3,2,2,1,1,2,1,1,1,2,"I thought the survey was easy to understand, and I had no technical issues. I thought it was fun having to think about what aspects would lead the people to earn more or less than $100,000."
5c952f252e2e320019b1aa7b,9,7,3,5,3,5,1,2,4,4,2,4,4,1,This experiment was quite insightful and offered a valuable opportunity to engage with the practical applications of AI in predictive modeling.
66a547d40cc3558ad9b51180,9,9,4,4,3,5,4,5,4,4,4,4,4,1,"Hey, I really liked this survey and took my time to give quality answers. I would appreciate being included in future surveys with you guys. Thank you."
5af1c4dfaec2b600010a96c9,8,7,1,1,1,2,3,4,5,4,4,5,5,1,
5f8cff5b20cbd14a4e792ee8,9,6,3,3,4,2,2,2,3,2,2,2,2,2,N/A
6648a72ac62125647c5b1ef1,9,8,4,4,3,4,2,2,2,2,2,4,4,2,
66311db2f9d3b238692d2972,5,5,3,3,1,3,2,2,3,3,3,3,4,3,
669ec98cc2b6615ab05eb21d,8,7,4,4,4,4,2,2,2,2,2,2,2,2,It was a very good survey.
666d73efa634d6896aea51f0,9,9,5,5,5,5,1,3,3,4,3,3,4,4,
66259ffee4bc8bd72828de90,7,7,4,4,4,5,2,2,2,3,3,2,3,2,
660e9df83afac7781e3da67e,6,6,4,3,4,4,1,1,1,1,1,1,2,3,
66312c5a4b47cc24d7b28a22,3,6,5,5,3,2,1,1,1,3,4,2,4,1,Overall I found this survey very interesting!
66772c39cad8d06ec690f3ab,9,8,5,4,4,5,1,3,2,3,2,2,4,5,This was a great study
6643ad1d6324582f8867c01a,3,5,4,3,3,5,2,5,4,5,4,4,5,1,
64275e53f51a5ed4f6b7d019,9,9,2,2,1,5,1,1,1,1,5,1,5,1,"When it comes to judging whether someone's gonna reoffend or not, I really don't want to rely on AI because AI can be biased based on what kind of data are fed into it. ChatGPT, Gemini, they are biased ai. They adhere to certain principles of trying their best not to cause ""harm"" and they avoid promoting ""stereotypes"" even if there's data backing it up. For example, if you ask them ""Is it alright to be proud being white?"" the ai will tell you something to the effect of race not being something that you're supposed to be proud of. But if you ask ""Is it alright to be proud being black?"" and suddenly you'll get extremely supportive answers that mention BLM and other black movements. Why is that? And let's not forget the fiasco that Google got into where they replaced historical characters with black people. If you asked it to show you pictures of Americans or historical events, it'll keep showing you black people for some reason. Google was forced to stop that image generation service for a while and I don't think it's available right now. 

In short, ai is just as good as the data it is fed. If you feed it biased data, it'll spit out biased answers. Google also made the mistake of using Reddit, a well known leftist site that is objectively anti-republican and pushes leftist ideas and anti-science ideology, as a source of data to feed its ai. 

Another situation that shows how biased these ai can be is if you ask it about the recent Trump assassination attempt. Both will tell you that ""it never happened"", despite the fact that it happened on live tv, there are numerous video evidence about it, the shooter actually got killed, and it's all over the news. Meanwhile, if you ask the ai what's currently going on with Kamala Harris, it suddenly shows you all the information about how Kamala is running for president. Take note that Kamala, who was never voted for but simply was put there to run for president, got into that position AFTER the Trump assassination attempt. So there's no excuse for these ai companies to say ""Oh we have a cutoff date for our ai's information"" because their ai can report on the current status of Kamala's presidential run.

These are the reasons why I can't fully trust ai. AI is useful for sure, but you can't fully trust it."
66a4cc07a6fdbee013553cf3,6,5,3,3,4,3,2,2,2,2,2,2,4,3,"This experiment presents an interesting approach to understanding how AI-based systems make predictions, especially in sensitive areas like recidivism."
66a3e6e656e9d061a9e9588a,9,9,5,4,5,5,1,2,3,3,3,2,2,3,
6661bc3e3de765933ac65966,9,9,3,2,3,4,1,1,2,2,1,2,1,3,
668180f26a3b162091510589,5,7,3,4,3,5,2,3,4,5,3,4,5,1,"it was very interesting, thank you"
61528277afcb4906d01e0442,6,5,1,1,1,4,3,2,4,3,2,3,4,5,
6603fcffed04e57eac3383b2,7,9,4,4,5,3,2,1,1,1,2,1,1,2,
661415341b1fdb1844c6f6a6,6,5,2,4,2,4,5,5,5,5,5,5,5,1,Thank you for this oppurtunity.
669521ef1465b3d43f212c30,8,8,1,1,1,3,1,3,4,5,2,1,5,1,
65fd56b2ef726469ebaaca51,8,9,4,5,4,5,1,1,1,1,2,2,2,2,
5ed9c3054268815691ed0e2c,7,7,2,1,1,4,1,3,2,4,2,2,4,2,
65603f388b128e01321fdee9,8,8,1,1,1,4,1,1,1,1,1,1,4,1,"So, first the amount of information given. Was it sufficient? No. But it was still extremely helpful. Using my own experience and knowledge with recividism, most offenders are more likely to reoffend between the ages of 18 and 30, regardless of prior criminal records. Those who have done some real time are also more likely to reoffend regardless of age. Many of the scenarios didn't have priors as adults or juveniles, and yet they still went to jail. So, either they were with other individuals who committed crimes and were let go, they did commit the crime but not enough evidence and let go, or sealed juvenile records. My thinking relied on age heavily, priors, and current charge. I think given more information and background, I would have been able to better predict. The same goes for the model. More infomation you give it, correct information, the predictability would improve just the same. I loved this. Thank you for letting me be a part of it. Good Luck."
63f77b9ca8439f6e1620c1cd,6,6,5,4,2,4,2,2,2,3,2,4,2,4,
66271b4aaaf60fd058302f09,5,5,2,2,2,3,1,2,2,3,3,4,3,1,
66b677b36824861ed3adf126,5,4,2,3,1,2,3,3,3,3,4,4,4,1,
6335fd309608ba9c606477fc,5,3,5,5,1,5,1,1,1,1,1,1,5,1,"Excellent questions and also I have low vision and your fonts are perfect. 
Thank you and good luck."
60045900ccb68e4bdd23111e,5,8,4,3,1,3,1,2,2,3,2,2,3,3,
5b0a1a4bd282ff00015b5625,6,8,4,4,1,2,1,2,2,2,2,3,4,1,I only found some of the provided information to be useful for making predictions.
65563394d4e984dcb4517397,4,4,1,1,1,2,3,1,4,4,4,4,5,1,
5ddc44d65a40f2bb49218200,9,6,1,3,5,3,3,5,4,1,3,4,5,1,"Interesting study, for sure. It makes you really think about our future and the role AI will play in it. 

My former job, which I had for over 30 years, was taken over by AI and it was devastating. My benefits were over, my retirement plan was over, and our health insurance, which I had in my job, was over."
66d868d963029eff24ba605f,4,7,5,5,4,1,4,2,4,2,1,4,5,1,
66d09959077135a7d261fc5b,6,5,4,4,4,4,4,2,3,4,4,4,4,2,O comment experience was good
60fef851c23277d2a5749b64,7,3,4,5,1,3,1,3,2,3,2,4,4,3,
66d1561ce0504aa0fbb33ce7,8,8,4,4,4,3,4,3,4,4,3,4,3,3,"Very interesting 
Thank you for the opportunity"
66bbf29acceab6cdb4c5a091,9,6,3,4,3,2,4,4,3,4,2,4,5,5,no comments
66844cc133a4d360bca29862,8,7,3,3,2,4,2,3,3,4,2,3,4,2,None.
66d66c87b7cd17ef3de5c476,9,6,5,3,4,3,3,4,3,3,4,4,4,2,
